--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  579): 132374 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 132381 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  579): 132381 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 132384 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  579): 132388 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 132418 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 134356 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 134360 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 134361 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 134361 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 134371 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 134372 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 135564 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 135565 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 135664 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 135665 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 136039 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 136041 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 136249 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 136251 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 136252 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 136253 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 136641 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 136642 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 138042 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 138043 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 140365 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  579): 140366 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 140368 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  579): 140369 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  579): 140372 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  579): 140373 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  579): 140375 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 140380 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  579): 140398 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 140401 + Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  579): 140401 - Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  579): 140402 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 140626 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  579): 140627 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  579): 140627 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  579): 140627 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  579): 140628 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  579): 140628 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  579): 142979 + Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick android.widget.LinearLayout@43fb86e8
V/DBox    (  579): 142983 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  579): 142985 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  579): 142988 + Lcom/facebook/katana/UserSearchResultsActivity; onCreate
V/DBox    (  579): 143017 + Lcom/facebook/katana/UserSearchResultsActivity; onScroll android.widget.ListView@43fd2208
V/DBox    (  579): 143020 - Lcom/facebook/katana/UserSearchResultsActivity; onScroll
V/DBox    (  579): 143022 - Lcom/facebook/katana/UserSearchResultsActivity; onCreate
V/DBox    (  579): 143023 + Lcom/facebook/katana/UserSearchResultsActivity; onResume
V/DBox    (  579): 143024 - Lcom/facebook/katana/UserSearchResultsActivity; onResume
V/DBox    (  579): 143034 - Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick
V/DBox    (  579): 143081 + Lcom/facebook/katana/UserSearchResultsActivity; onScroll android.widget.ListView@43fd2208
V/DBox    (  579): 143087 - Lcom/facebook/katana/UserSearchResultsActivity; onScroll
V/DBox    (  579): 144171 + Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick android.widget.LinearLayout@43fdf248
V/DBox    (  579): 144173 + Lcom/facebook/katana/UserSearchResultsActivity; onSaveInstanceState
V/DBox    (  579): 144175 - Lcom/facebook/katana/UserSearchResultsActivity; onSaveInstanceState
V/DBox    (  579): 144176 + Lcom/facebook/katana/UserSearchResultsActivity; onPause
V/DBox    (  579): 144176 - Lcom/facebook/katana/UserSearchResultsActivity; onPause
V/DBox    (  579): 144177 + Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  579): 144177 - Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  579): 144180 - Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick
V/DBox    (  579): 148281 + Lcom/facebook/katana/FriendsActivity; onItemClick android.widget.ListView@440a2df0
V/DBox    (  579): 148300 - Lcom/facebook/katana/FriendsActivity; onItemClick
V/DBox    (  579): 148316 + Lcom/facebook/katana/UserSearchResultsActivity; onSaveInstanceState
V/DBox    (  579): 148317 - Lcom/facebook/katana/UserSearchResultsActivity; onSaveInstanceState
V/DBox    (  579): 148318 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 148333 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  579): 148333 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  579): 148334 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 148349 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  579): 148385 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  579): 148405 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  579): 148411 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  579): 148412 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  579): 148412 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 148414 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  579): 148414 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 148415 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 148421 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  579): 148422 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 148425 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  579): 148430 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 148458 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 148699 + Lcom/facebook/katana/UserSearchResultsActivity; onScroll android.widget.ListView@43fd2208
V/DBox    (  579): 148700 - Lcom/facebook/katana/UserSearchResultsActivity; onScroll
V/DBox    (  579): 150275 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 150278 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 157415 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  579): 157416 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 157418 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  579): 157419 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  579): 157422 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  579): 157423 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  579): 157424 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 157425 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  579): 157445 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 157452 + Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  579): 157453 - Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  579): 157453 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 157698 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  579): 157702 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  579): 157704 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  579): 157705 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  579): 157706 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  579): 157707 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  579): 158336 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 158337 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  579): 158339 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  579): 158342 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 158364 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  579): 158365 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 158367 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 158384 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  579): 158393 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 158399 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 158400 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 158410 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 158677 + Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  579): 158679 + Lcom/facebook/katana/UserSearchResultsActivity; onScroll android.widget.ListView@43fd2208
V/DBox    (  579): 158681 - Lcom/facebook/katana/UserSearchResultsActivity; onScroll
