* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 2835943 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 2835944 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 2839239 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
V/DBox    (  360): 2839263 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2839316 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2839317 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2839318 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2839319 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2839336 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 2839340 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2839347 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2839594 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 2839595 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): 2839595 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2839599 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2839599 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 2842583 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 2842583 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 2842594 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2842595 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2842598 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2842667 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 2844149 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
V/DBox    (  360): 2844149 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
