* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  360): 1187410 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 1195337 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
V/DBox    (  360): 1195350 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1195368 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1195370 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1195371 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1195371 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1195386 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  360): 1195387 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  360): 1195392 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  360): 1195477 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  360): 1195478 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  360): 1195485 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  360): 1198838 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1198838 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1198856 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1198857 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1198859 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 1198976 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 1199144 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 1199155 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 1201619 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
V/DBox    (  360): 1201652 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1201654 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1201658 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1201659 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1201659 - Lcom/fsck/k9/activity/MessageList; onPause
