--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  584): 186115 + Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  584): 186115 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  584): 186115 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  584): 186123 - Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  584): 187568 + Lcom/facebook/katana/LoginActivity; onSaveInstanceState
V/DBox    (  584): 187598 - Lcom/facebook/katana/LoginActivity; onSaveInstanceState
V/DBox    (  584): 187616 + Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  584): 187617 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  584): 187656 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  584): 187656 - Lcom/facebook/katana/LoginActivity; onPause
