* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  771): 5713656 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713658 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713679 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713682 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713683 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713689 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713752 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713753 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713754 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713754 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713830 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  771): 5713831 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  771): 5713843 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  771): 5713843 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  771): 5713844 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  771): 5713846 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5713847 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5713848 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  771): 5713848 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  771): 5713849 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  771): 5713874 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  771): 5714000 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  771): 5714001 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  771): 5714001 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5714002 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5714009 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  771): 5714020 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5714029 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5714030 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5714124 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5714124 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5714153 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5714294 + Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected android.widget.Gallery@46298370
V/DBox    (  771): 5714298 - Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected
V/DBox    (  771): 5714335 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@461f0170
V/DBox    (  771): 5714335 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714337 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@461f0170
V/DBox    (  771): 5714338 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714340 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@462d08a8
V/DBox    (  771): 5714341 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714344 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@462d08a8
V/DBox    (  771): 5714345 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714367 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5714390 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5714468 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@462bb040
V/DBox    (  771): 5714469 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714480 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@462bb040
V/DBox    (  771): 5714480 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714526 + Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected android.widget.Gallery@46298370
V/DBox    (  771): 5714616 - Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected
V/DBox    (  771): 5714687 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@462bb040
V/DBox    (  771): 5714691 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714719 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@462bb040
V/DBox    (  771): 5714720 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714720 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@462fdb38
V/DBox    (  771): 5714721 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714723 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@462fdb38
V/DBox    (  771): 5714725 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714743 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@462fdb38
V/DBox    (  771): 5714744 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714745 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@462fdb38
V/DBox    (  771): 5714745 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714746 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@461f0978
V/DBox    (  771): 5714747 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714774 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@461f0978
V/DBox    (  771): 5714774 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5714775 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@462c0fc0
V/DBox    (  771): 5714775 - Lcom/facebook/katana/HomeActivity; onFocusChange
