--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  564): 95122 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 95149 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 95150 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 145150 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 145151 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 145157 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 145165 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 145244 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 145250 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 145250 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 145260 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 147589 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f111d8
V/DBox    (  564): 147600 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  564): 147610 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 147610 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 147611 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 147612 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 147633 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  564): 147680 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  564): 147681 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  564): 147681 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 147682 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 147692 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  564): 147844 + Lcom/facebook/katana/service/FacebookService; onStart
