--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  566): 810921 - Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    (  566): 810921 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 810926 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@44036338
V/DBox    (  566): 810927 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  566): 810956 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 811016 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 812290 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 812291 + Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    (  566): 812291 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 812292 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 812292 - Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    (  566): 812293 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 812313 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 812313 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 812314 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 812322 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 812331 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 812350 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 812351 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 812370 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 812611 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@44036338
V/DBox    (  566): 812612 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  566): 812613 + Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    (  566): 812614 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@44036338
V/DBox    (  566): 812614 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  566): 812615 - Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    (  566): 813642 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43fa6230
V/DBox    (  566): 813653 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 813656 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 813657 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 813658 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 813661 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 813677 + Lcom/facebook/katana/RequestsActivity; onCreate
V/DBox    (  566): 813693 - Lcom/facebook/katana/RequestsActivity; onCreate
V/DBox    (  566): 813694 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 813694 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 813698 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 813707 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 814912 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 814913 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 814935 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 814936 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 814937 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 814949 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 814957 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 814963 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 814964 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 815024 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 815276 + Lcom/facebook/katana/RequestsActivity; onDestroy
V/DBox    (  566): 815276 - Lcom/facebook/katana/RequestsActivity; onDestroy
V/DBox    (  566): 816334 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43ffab30
V/DBox    (  566): 816343 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 816349 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 816350 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 816351 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 816352 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 816369 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 816389 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 816390 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 816391 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 816391 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 816395 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 818210 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 818211 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 818212 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 818257 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 818273 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 818274 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 818274 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 818288 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 818298 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 818311 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 818312 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 818334 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 818568 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 818570 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 818570 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 818571 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 819977 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@440598d0
V/DBox    (  566): 819987 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 819991 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 819993 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 819994 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 819995 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 820022 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  566): 820059 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 820078 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 820084 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  566): 820084 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  566): 820085 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 820085 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 820086 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 820086 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 820092 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 820092 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 820095 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  566): 820098 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 820128 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 820190 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 820197 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 820663 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 820664 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 821794 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  566): 821794 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 821795 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 821795 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 821796 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 821796 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 821797 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 821799 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  566): 821823 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 821823 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 821824 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 821832 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 821840 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 821860 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 821861 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 821881 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 822103 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 822104 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 822105 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  566): 822105 + Lcom/facebook/katana/StreamActivity; onDestroy
