--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  566): 1138305 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1138305 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1138306 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1138314 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1138329 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1138341 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1138342 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1138360 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1138598 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@4412baf0
V/DBox    (  566): 1138599 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  566): 1138599 + Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    (  566): 1138601 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@4412baf0
V/DBox    (  566): 1138602 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  566): 1138604 - Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    (  566): 1139167 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@4406c278
V/DBox    (  566): 1139176 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 1139179 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1139181 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1139184 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1139186 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1139208 + Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  566): 1139244 + Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  566): 1139273 - Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  566): 1139278 - Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  566): 1139279 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 1139290 + Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  566): 1139291 - Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  566): 1139291 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 1141772 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 1141773 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  566): 1141773 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  566): 1141774 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 1141811 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1141811 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1141812 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1141819 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1141826 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1141840 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1141842 + Lcom/facebook/katana/service/FacebookService; onStart
