--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  401): 986992 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987005 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987010 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987026 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987027 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987048 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987049 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987076 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987076 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987104 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987105 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987132 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987133 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987160 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987161 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987190 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987192 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987215 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987216 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987244 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987248 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987274 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987275 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987276 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987279 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987829 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987833 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987853 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987857 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987882 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987883 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987912 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987912 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987960 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987961 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 987971 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 987975 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988025 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988026 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988041 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988041 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988065 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988066 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988092 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988093 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988121 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988121 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988149 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988149 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988177 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988178 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988206 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988207 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988240 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988242 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988272 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988273 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988288 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988289 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988317 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988317 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988345 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988345 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988375 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988376 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988406 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988409 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988456 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988459 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988462 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988472 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988903 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988905 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 988947 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 988947 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 989012 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 989012 - Lcom/fsck/k9/activity/MessageList$1; onTouch
