--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  561): 72435 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 72437 - Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  561): 72466 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 72467 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 72467 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 72476 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 72525 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 72530 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 72531 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 72540 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 73511 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f32028
V/DBox    (  561): 73525 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  561): 73529 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  561): 73531 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 73533 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 73535 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  561): 73550 + Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  561): 73586 + Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  561): 73605 - Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  561): 73612 - Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  561): 73613 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  561): 73613 + Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  561): 73619 - Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  561): 73620 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  561): 75814 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  561): 75815 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  561): 75815 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  561): 75816 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  561): 75834 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 75839 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 75840 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 75851 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 75927 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 75940 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 75941 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 75952 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 76225 + Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  561): 76226 - Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  561): 76793 + Lcom/facebook/katana/HomeActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4416bed0
V/DBox    (  561): 76804 - Lcom/facebook/katana/HomeActivity; onCreateOptionsMenu
V/DBox    (  561): 77782 + Lcom/facebook/katana/HomeActivity; onOptionsItemSelected Logout
V/DBox    (  561): 77841 - Lcom/facebook/katana/HomeActivity; onOptionsItemSelected
V/DBox    (  561): 79041 + Lcom/facebook/katana/HomeActivity$5; onClick android.app.AlertDialog@44026648
V/DBox    (  561): 79064 - Lcom/facebook/katana/HomeActivity$5; onClick
V/DBox    (  561): 79065 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 79074 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 80508 + Lcom/facebook/katana/platform/FacebookAuthenticationService; onCreate
V/DBox    (  561): 80509 - Lcom/facebook/katana/platform/FacebookAuthenticationService; onCreate
V/DBox    (  561): 80632 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  561): 80646 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  561): 80659 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  561): 80659 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 80660 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 80661 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  561): 80675 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  561): 80772 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  561): 80775 + Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  561): 80780 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  561): 80783 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  561): 80800 - Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  561): 81925 + Lcom/facebook/katana/LoginActivity; onSaveInstanceState
V/DBox    (  561): 81931 - Lcom/facebook/katana/LoginActivity; onSaveInstanceState
V/DBox    (  561): 81932 + Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  561): 81932 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  561): 81980 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  561): 81980 - Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  561): 113872 + Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  561): 113873 + Lcom/facebook/katana/FacebookActivity; onResume
